Start Station Name,Month of Starttime,Number of Records
MTL-AOS-5.1,March,1
Somers St & Broadway,March,29
Stephen St & Seneca Ave,March,27
Hoyt St & Warren St,March,79
Linden St & Knickerbocker Ave,March,39
Bushwick Ave & Furman Ave,March,42
Broadway & Furman Ave,March,64
Cypress Ave & George St,March,44
Fairview Ave & Linden St,March,63
Menahan St & Onderdonk Ave,March,38
Centre St & Seneca Ave,March,58
Metropolitan Ave & Vandervoort Ave,March,49
Halsey St & Evergreen Ave,March,67
Stanhope St & Fairview Ave,March,55
Hancock St & Wyckoff Ave,March,51
Willoughby Ave & Onderdonk Ave,March,41
Menahan St & Seneca Ave,March,49
Onderdonk Ave & Dekalb Ave,March,86
Metropolitan Ave & Stewart Ave,March,56
Onderdonk Ave & Gates Ave,March,85
Moffat St & Bushwick,March,80
Cypress Ave & Palmetto St,March,79
Madison St & Evergreen Ave,March,77
Central Ave & Decatur St,March,92
Frost St & Debevoise Ave,March,56
Central Ave & Covert St,March,92
Van Sinderen Ave & Truxton St,March,93
Cedar St & Evergreen Ave,March,113
Madison St & Forest Ave,March,95
Suydam St & St. Nicholas Ave,March,84
Putnam Ave & Knickerbocker Ave,March,91
Madison St & Cypress Ave,March,82
Woodward Ave & Harman St,March,76
Railroad Ave & Kay Ave,March,57
Madison St & Woodward Ave,March,90
Harman St & Seneca Ave,March,102
Eldert St & Bushwick Ave,March,96
Flushing Ave & Woodward Ave,March,112
Menahan St & Wyckoff Ave,March,102
Columbia St & Lorraine St,March,87
Bushwick Ave & Forrest St,March,119
Knickerbocker Ave & Cooper St,March,79
Knickerbocker Ave & Halsey St,March,108
White St & Johnson Ave,March,92
Central Ave & Melrose St,March,122
Stewart Ave & Johnson Ave,March,80
Central Ave & Himrod St,March,128
Myrtle Ave & Grove St,March,101
Greene Ave & Grandview Ave,March,101
Bushwick Ave & Linden St,March,132
Central Ave & Weirfield St,March,116
Jefferson Ave & Evergreen Ave,March,105
Wall St & South St,March,273
21 St & 38 Ave,March,109
Menahan St & Central Ave,March,120
Morgan Ave & Maspeth Ave,March,138
Harrison Pl & Porter Ave,March,94
Henry St & Bay St,March,123
Madison St & Seneca Ave,March,113
Forest Ave & Summerfield St,March,149
Bushwick Ave & Dekalb Ave,March,152
11 St & 35 Ave,March,112
Hart St & Wyckoff Ave,March,128
Knickerbocker Ave & Hancock St,March,131
Bushwick Ave & Stagg St,March,119
Wyckoff St & Bond St,March,58
Van Buren St & Broadway,March,162
Montgomery St & Franklin Ave,March,136
Wilson Ave & Moffat St,March,114
Irving Ave & Halsey St,March,141
47 Ave & Skillman Ave,March,114
Bushwick Ave & Harman St,March,153
34 Ave & 13 St,March,130
Rockaway Ave & Bainbridge St,March,154
27 Ave & 3 St,March,138
Dwight St & Van Dyke St,March,168
Broadway & Hancock St,March,166
Irving Ave & Palmetto St,March,130
Carroll St & Franklin Ave,March,146
Putnam Ave & Wyckoff Ave,March,153
Evergreen Ave & Noll St,March,195
Pioneer St & Richards St,March,150
Green St & McGuinness Blvd,March,120
Jefferson St & Cypress Ave,March,140
Halsey St & Broadway,March,236
23 Ave & 27 St,March,178
48 Ave & 30 Pl,March,163
Withers St & Kingsland Ave,March,145
Central Ave & Woodbine St,March,160
Irving Ave & Harman St,March,185
11 St & 43 Ave,March,139
Myrtle Ave & Linden St,March,157
Richards St & Delavan St,March,161
Norman St & Wyckoff Ave,March,136
39 St & 2 Ave,March,257
37 St & 24 Ave,March,147
Albany Ave & Fulton St,March,164
Sullivan Pl & Bedford Ave,March,178
Irving Ave & DeKalb Ave,March,207
40 Ave & Crescent St,March,169
Henry St & W 9 St,March,150
Broadway & Kosciuszko St,March,213
Broadway & Madison St,March,203
Stagg St & Morgan Ave,March,166
21 St & 36 Ave,March,233
Bushwick Ave & McKibbin St,March,172
10 St & 2 Ave,March,150
Clinton St & Centre St,March,180
Central Ave & Starr Street,March,225
Wolcott St & Dwight St,March,121
Central Ave & Flushing Ave,March,188
Morgan Ave & Lombardy St,March,178
Union St & Bedford Ave,March,204
Kent St & McGuinness Blvd,March,205
Bedford Ave & Montgomery St,March,174
27 Ave & 9 St,March,189
Division Ave & Marcy Ave,March,167
Crescent St & 35 Ave,March,220
31 St & Hoyt Ave N,March,162
Devoe St & Morgan Ave,March,196
Vernon Blvd & 41 Rd,March,327
34 Ave & 21 St,March,189
Greene Av & Myrtle Av,March,197
Commerce St & Van Brunt St,March,186
21 St & Hoyt Ave S,March,271
Wilson Ave & Troutman St,March,244
Columbus Ave & W 103 St,March,234
Throop Ave & Myrtle Ave,March,219
24 Ave & 29 St,March,231
48 Ave & 5 St,March,244
Carroll St & Washington Ave,March,201
31 Ave & 14 St,March,203
5 St & 51 Ave,March,264
Cedar St & Myrtle Ave,March,225
Knickerbocker Ave & Thames St,March,242
Pulaski St & Marcus Garvey Blvd,March,263
Columbia St & W 9 St,March,256
Newton Rd & 44 St,March,240
2 Ave & 36 St,March,320
Lincoln Pl & Classon Ave,March,272
30 Ave & 21 St,March,242
George St & Wilson Ave,March,282
Crescent St & Ditmars Blvd,March,230
Willoughby Ave & Wyckoff Ave,March,242
Beaver St & Fayette St,March,246
Morningside Dr & Amsterdam Ave,March,186
Willoughby Ave & Myrtle Ave,March,261
31 St & Northern Blvd,March,298
Irving Ave & Jefferson St,March,251
Grove St & Broadway,March,315
Park Ave & Marcus Garvey Blvd,March,304
Stockholm St & Wilson Ave,March,276
38 Ave & 29 St,March,278
40 Ave & 9 St,March,283
12 St & 4 Ave,March,340
Jackson St & Leonard St,March,225
19 St & 24 Ave,March,261
Lewis Ave & Kosciuszko St,March,292
Sigourney St & Columbia St,March,243
Willoughby St & Ashland Pl,March,295
Waterbury St & Stagg St,March,236
3 Ave & 14 St,March,277
35 St & Broadway,March,289
28 Ave & 44 St,March,261
21 St & 43 Ave,March,247
Knickerbocker Ave & George St,March,285
Sterling St & Bedford Ave,March,358
31 Ave & Crescent St,March,258
35 Ave & 10 St,March,219
34 St & 35 Ave,March,282
Suydam St & Broadway,March,254
28 St & 36 Ave,March,305
Manhattan Av & Leonard St,March,257
Humboldt St & Varet St,March,264
Steinway St & 23 Ave,March,340
Powers St & Olive St,March,296
Wyckoff Av & Stanhope St,March,293
E 116 St & 2 Ave,March,326
35 St & 34 Ave,March,290
2 Ave & E 122 St,March,345
E 118 St & Park Ave,March,305
White St & Moore St,March,304
Marcy Ave & Lafayette Ave,March,339
Engert Ave & McGuinness Blvd,March,266
Lexington Ave & E 127 St,March,319
3 Ave & E 112 St,March,332
47 Ave & 31 St,March,302
Nostrand Ave & Myrtle Ave,March,287
Leonard St & Boerum St,March,318
Wyckoff Av & Jefferson St,March,308
Stuyvesant Walk & 1 Av Loop,March,258
Vernon Blvd & 30 Rd,March,351
37 Ave & 35 St,March,328
Coffey St & Conover St,March,376
Adam Clayton Powell Blvd & W 115 St,March,305
24 St & 41 Ave,March,348
Crescent St & 30 Ave,March,325
9 St & 44 Rd,March,283
Pacific St & Classon Ave,March,216
31 St & Thomson Ave,March,330
36 Ave & 10 St,March,446
Crescent St & 34 Ave,March,328
Broadway & 12 St,March,357
31 Ave & Steinway St,March,396
Sands St Gate,March,556
W 129 St & Convent Ave,March,369
Broadway & W 122 St,March,303
31 Ave & 30 St,March,368
Suydam St & Knickerbocker Ave,March,445
24 Ave & 26 St,March,252
Lewis Ave & Decatur St,March,406
Melrose St & Broadway,March,394
3 Ave & E 100 St,March,308
Willoughby Ave & Tompkins Ave,March,332
Pleasant Ave & E 120 St,March,351
35 Ave & 37 St,March,304
Madison Ave & E 120 St,March,321
Rogers Ave & Sterling St,March,428
Jackson Ave & 46 Rd,March,314
Putnam Ave & Nostrand Ave,March,367
E 128 St & Madison Ave,March,356
McKibbin St & Bogart St,March,337
E 123 St & Lexington Ave,March,393
McKibbin St & Manhattan Ave,March,379
5 St & 6 Ave,March,279
Pioneer St & Van Brunt St,March,339
49 Ave & 21 St,March,307
Franklin Ave & Myrtle Ave,March,329
E 115 St & Madison Ave,March,407
Union Ave & Wallabout St,March,359
N 15 St & Wythe Ave,March,274
Vernon Blvd & 10 St,March,436
3 St & Hoyt St,March,350
Vernon Blvd & 31 Ave,March,405
Marcus Garvey Blvd & Macon St,March,357
28 Ave & 35 St,March,361
Graham Ave & Herbert St,March,303
Lexington Ave & E 120 St,March,387
Calyer St & Jewel St,March,399
Sharon St & Olive St,March,428
Newtown Ave & 23 St,March,395
Lorimer St & Broadway,March,293
E 98 St & Park Ave,March,349
6 Ave & 12 St,March,388
West End Ave & W 78 St,March,711
Tompkins Ave & Hopkins St,March,370
5 Ave & E 126 St,March,341
E 118 St & 1 Ave,March,460
Union St & Nevins St,March,338
21 St & 31 Dr,March,443
Adam Clayton Powell Blvd & W 118 St,March,415
3 Ave & Carroll St,March,361
Brooklyn Bridge Park - Pier 2,March,549
Amsterdam Ave & W 125 St,March,471
Frost St & Meeker Ave,March,357
Myrtle Ave & Marcy Ave,March,382
7 St & 3 Ave,March,400
Bedford Ave & S 9 St,March,409
Verona Pl & Fulton St,March,402
Fulton St & Utica Ave,March,460
Myrtle Ave & Lewis Ave,March,373
Ditmars Blvd & 19 St,March,476
Greene Ave & Throop Ave,March,375
27 St & Hunter St,March,504
E 114 St & 1 Ave,March,530
Lorimer St & Calyer St,March,413
10 St & 5 Ave,March,404
Putnam Ave & Throop Ave,March,407
E 106 St & 1 Ave,March,474
Astoria Park S & Shore Blvd,March,590
Hancock St & Bedford Ave,March,464
Van Brunt St & Wolcott St,March,395
Broadway & Whipple St,March,435
Kingston Ave & Herkimer St,March,536
N 11 St & Kent Ave,March,421
Kosciuszko St & Nostrand Ave,March,423
Bushwick Ave & Powers St,March,496
Union Ave & Jackson St,March,417
36 Ave & 31 St,March,507
Park Pl & Franklin Ave,March,425
6 St & 7 Ave,March,411
Crescent St & Broadway,March,493
E 106 St & Madison Ave,March,482
Prospect Pl & Underhill Ave,March,373
7 St & 5 Ave,March,393
43 St & Broadway,March,553
Division Ave & Hooper St,March,427
Lefferts Pl & Franklin Ave,March,411
31 Ave & 34 St,March,501
E 118 St & 3 Ave,March,562
E 118 St & Madison Ave,March,444
Greene Ave & Nostrand Ave,March,452
Frederick Douglass Blvd & W 129 St,March,642
Steinway St & 28 Ave,March,472
Adam Clayton Powell Blvd & W 126 St,March,518
E 97 St & 3 Ave,March,509
Franklin Ave & St Marks Ave,March,458
1 Pl & Clinton St,March,489
Boerum St & Broadway,March,441
Halsey St & Tompkins Ave,March,412
Amsterdam Ave & W 119 St,March,444
Columbia Heights & Cranberry St,March,577
Center Blvd & 51 Ave,March,721
Wyckoff St & Nevins St,March,480
Berkeley Pl & 6 Ave,March,395
Center Blvd & 48 Ave,March,591
Sterling Pl & Bedford Ave,March,558
E 106 St & Lexington Ave,March,544
Smith St & 3 St,March,425
DeKalb Ave & Franklin Ave,March,522
W 107 St & Columbus Ave,March,493
31 St & Astoria Blvd,March,387
2 Ave & E 99 St,March,492
Van Brunt St & Van Dyke St,March,578
Willoughby Ave & Walworth St,March,523
Cambridge Pl & Gates Ave,March,513
Vernon Blvd & 47 Rd,March,505
Prospect Park West & 8 St,March,613
Park Ave & St Edwards St,March,448
Clinton Ave & Flushing Ave,March,540
21 St & Queens Plaza North,March,493
E 102 St & Park Ave,March,540
E 115 St & Lexington Ave,March,496
Fulton St & Irving Pl,March,496
Lewis Ave & Madison St,March,553
E 95 St & 3 Ave,March,598
Concord St & Bridge St,March,546
Eastern Pkwy & Washington Ave,March,476
Morningside Ave & W 123 St,March,600
W 120 St & Claremont Ave,March,483
Pierrepont St & Monroe Pl,March,488
Central Park West & W 102 St,March,581
Prospect Pl & 6 Ave,March,412
Dock 72 Way & Market St,March,406
Lenox Ave & W 115 St,March,584
E 81 St & Park Ave,March,564
Court St & Nelson St,March,461
Underhill Ave & Pacific St,March,519
Pitt St & Stanton St,March,508
Fulton St & Clermont Ave,March,539
Monroe St & Tompkins Ave,March,470
Leonard St & Maujer St,March,620
E 109 St & 3 Ave,March,615
10 St & 7 Ave,March,511
Clinton St & 4 Place,March,526
Myrtle Ave & St Edwards St,March,571
28 St & 41 Ave,March,571
Adam Clayton Powell Blvd & W 123 St,March,513
Graham Ave & Withers St,March,542
Kosciuszko St & Tompkins Ave,March,464
W 116 St & Broadway,March,552
Clermont Ave & Park Ave,March,444
Dean St & Hoyt St,March,608
Degraw St & Hoyt St,March,527
Columbia St & Kane St,March,624
East End Ave & E 86 St,March,716
4 Ave & 9 St,March,536
W 113 St & Broadway,March,648
E 68 St & Madison Ave,March,567
Carroll St & Columbia St,March,604
Broadway & Moylan Pl,March,601
Clermont Ave & Lafayette Ave,March,524
W 104 St & Amsterdam Ave,March,578
President St & Henry St,March,497
Garfield Pl & 8 Ave,March,541
Carroll St & Bond St,March,544
Butler St & Court St,March,541
14 St & 7 Ave,March,595
Richardson St & N Henry St,March,478
Carlton Ave & Park Ave,March,462
44 Dr & 21 St,March,513
E 66 St & Madison Ave,March,701
Montrose Ave & Bushwick Ave,March,628
Riverside Dr & W 91 St,March,962
Cadman Plaza E & Johnson St,March,695
Washington Ave & Greene Ave,March,592
Bond St & Bergen St,March,589
Kingsland Ave & Nassau Ave,March,567
45 Rd & 11 St,March,635
Lexington Ave & Classon Ave,March,685
Riverside Dr & W 104 St,March,953
Mt Morris Park W & W 120 St,March,655
Lexington Ave & E 111 St,March,678
12 Ave & W 125 St,March,1408
Carlton Ave & Flushing Ave,March,615
Monroe St & Classon Ave,March,655
Columbia St & Degraw St,March,730
Laight St & Hudson St,March,678
St Johns Pl & Washington Ave,March,657
E 93 St & 2 Ave,March,715
Pacific St & Nevins St,March,639
Clinton St & Union St,March,629
Bayard St & Leonard St,March,623
West End Ave & W 107 St,March,730
1 Ave & E 110 St,March,790
Classon Ave & St Marks Ave,March,645
W 30 St & 10 Ave,March,2055
Driggs Ave & Lorimer St,March,736
2 Ave & E 104 St,March,699
Warren St & Court St,March,643
3 Ave & E 71 St,March,775
Underhill Ave & Lincoln Pl,March,708
St. Nicholas Ave & W 126 St,March,855
Smith St & 9 St,March,623
India St & West St,March,716
Madison Ave & E 99 St,March,708
6 Ave & 9 St,March,613
W 110 St & Amsterdam Ave,March,804
Carlton Ave & Dean St,March,634
E 103 St & Lexington Ave,March,744
Carroll St & 6 Ave,March,589
Grand Ave & Bergen St,March,606
S Portland Ave & Hanson Pl,March,630
S 4 St & Rodney St,March,736
Frederick Douglass Blvd & W 115 St,March,848
14 St & 5 Ave,March,794
44 Dr & Jackson Ave,March,895
3 Ave & E 72 St,March,740
Degraw St & Smith St,March,686
3 St & 7 Ave,March,621
1 Ave & E 94 St,March,914
3 St & 3 Ave,March,782
E 67 St & Park Ave,March,700
W 106 St & Amsterdam Ave,March,856
Cumberland St & Lafayette Ave,March,677
34 Ave & 38 St,March,722
Monroe St & Bedford Ave,March,646
Henry St & Middagh St,March,707
Scholes St & Manhattan Ave,March,793
E 60 St & York Ave,March,892
Nassau St & Navy St,March,761
Lafayette Ave & Classon Ave,March,689
E 78 St & 2 Ave,March,797
Johnson St & Gold St,March,817
Front St & Gold St,March,799
Douglass St & 4 Ave,March,726
Delancey St & Eldridge St,March,875
E 58 St & 1 Ave (NE Corner),March,766
Franklin St & Dupont St,March,825
Franklin Ave & Empire Blvd,March,1054
Park Pl & Vanderbilt Ave,March,878
DeKalb Ave & S Portland Ave,March,866
E 88 St & Park Ave,March,825
Graham Ave & Grand St,March,896
Carroll St & 5 Ave,March,726
Dean St & Franklin Ave,March,789
31 St & 23 Ave,March,788
31 St & Newtown Ave,March,804
Washington Park,March,699
Eastern Pkwy & Franklin Ave,March,852
Grand St & Greene St,March,1206
Baltic St & 5 Ave,March,784
St James Pl & Pearl St,March,786
Bedford Ave & Bergen St,March,849
W 90 St & Amsterdam Ave,March,878
Nassau Ave & Newell St,March,730
Roebling St & N 4 St,March,852
Bergen St & Vanderbilt Ave,March,814
31 St & Broadway,March,831
Douglass St & 3 Ave,March,634
West End Ave & W 94 St,March,1045
Bus Slip & State St,March,988
Lenox Ave & W 130 St,March,1042
E 110 St & Madison Ave,March,983
Riverside Dr & W 78 St,March,964
Stagg St & Union Ave,March,920
E 68 St & 3 Ave,March,848
Kane St & Clinton St,March,771
W 116 St & Amsterdam Ave,March,711
Washington Ave & Park Ave,March,806
Broad St & Bridge St,March,763
Driggs Ave & N Henry St,March,809
E 82 St & East End Ave,March,954
Lenox Ave & W 126 St,March,1004
E 85 St & York Ave,March,959
Bergen St & Flatbush Ave,March,831
Union St & 4 Ave,March,728
St Nicholas Ave & Manhattan Ave,March,878
Harrison St & Hudson St,March,786
Old Slip & Front St,March,336
5 Ave & E 93 St,March,1132
E 91 St & Park Ave,March,894
Emerson Pl & Myrtle Ave,March,885
McGuinness Blvd & Eagle St,March,901
5 Ave & 3 St,March,898
Nassau Ave & Russell St,March,812
46 Ave & 5 St,March,976
Macon St & Nostrand Ave,March,744
E 97 St & Madison Ave,March,1037
3 St & Prospect Park West,March,1155
E 56 St & Madison Ave,March,817
Banker St & Meserole Ave,March,814
Perry St & Greenwich Ave,March,938
Willoughby Ave & Hall St,March,844
Avenue D & E 8 St,March,1407
3 Ave & Schermerhorn St,March,1037
Avenue D & E 12 St,March,927
W 100 St & Manhattan Ave,March,971
E 76 St & Park Ave,March,979
Devoe St & Lorimer St,March,852
E 65 St & 2 Ave,March,923
E 102 St & 1 Ave,March,1031
Metropolitan Ave & Meeker Ave,March,871
Flushing Ave & Vanderbilt Ave,March,967
N 12 St & Bedford Ave,March,988
W Broadway & W Houston St,March,878
Pearl St & Peck Slip,March,1449
Duane St & Greenwich St,March,858
Kent Ave & S 11 St,March,1089
Schermerhorn St & Court St,March,888
Huron St & Franklin St,March,975
Carroll St & Smith St,March,850
Lenox Ave & W 117 St,March,980
Madison Ave & E 82 St,March,980
Henry St & Degraw St,March,863
E 63 St & 3 Ave,March,978
W 82 St & Central Park West,March,1410
E 89 St & York Ave,March,1054
E 72 St & Park Ave,March,922
Frederick Douglass Blvd & W 112 St,March,1208
Congress St & Clinton St,March,996
W 92 St & Broadway,March,978
India St & Manhattan Ave,March,1104
E 12 St & Ave C,March,1243
W 18 St & 9 Ave,March,893
Front St & Jay St,March,1025
DeKalb Ave & Vanderbilt Ave,March,864
Pleasant Ave & E 116 St,March,1150
Stanton St & Mangin St,March,1013
State St & Smith St,March,990
Duffield St & Willoughby St,March,1128
Fulton St & Waverly Ave,March,1042
Adelphi St & Myrtle Ave,March,904
E 84 St & Park Ave,March,1140
W 87 St & West End Ave,March,1248
Atlantic Ave & Fort Greene Pl,March,1036
Montague St & Clinton St,March,975
Union Ave & N 12 St,March,1330
E 81 St & 3 Ave,March,1080
5 Ave & E 63 St,March,950
Water - Whitehall Plaza,March,1004
Amsterdam Ave & W 66 St,March,946
Hope St & Union Ave,March,1166
Atlantic Ave & Furman St,March,1605
E 89 St & 3 Ave,March,1215
Leonard St & Nassau Ave,March,933
W 106 St & Central Park West,March,1303
W 87 St & Amsterdam Ave,March,1159
Centre St & Worth St,March,1132
Lafayette Ave & St James Pl,March,954
W 74 St & Columbus Ave,March,1073
Riverside Dr & W 82 St,March,1387
Meserole Ave & Manhattan Ave,March,1061
Central Park West & W 100 St,March,1463
Cadman Plaza E & Red Cross Pl,March,1023
Frederick Douglass Blvd & W 117 St,March,1393
Jay St & Tech Pl,March,1202
Berkeley Pl & 7 Ave,March,1004
E 47 St & 1 Ave,March,1068
Bialystoker Pl & Delancey St,March,983
E 75 St & 3 Ave,March,1119
John St & William St,March,1123
Greenpoint Ave & Manhattan Ave,March,1085
Market St & Cherry St,March,1080
W 84 St & Broadway,March,1249
Grand St & Havemeyer St,March,1176
E 77 St & 3 Ave,March,1151
Columbia St & Rivington St,March,1222
South St & Whitehall St,March,1455
E 81 St & 2 Ave,March,1318
Broadway & Roebling St,March,940
E 58 St & Madison Ave,March,1027
Park Pl & Church St,March,1076
Henry St & Atlantic Ave,March,1157
5 Ave & E 103 St,March,1460
Bedford Ave & Nassau Ave,March,1273
Plaza St West & Flatbush Ave,March,1165
Hicks St & Montague St,March,1209
E 88 St & 1 Ave,March,1508
E 58 St &  1 Ave (NW Corner),March,1254
Franklin St & W Broadway,March,1085
Cathedral Pkwy & Broadway,March,1499
Madison St & Montgomery St,March,1326
7 Ave & Park Pl,March,1068
Maiden Ln & Pearl St,March,1306
Schermerhorn St & Bond St,March,1157
E 91 St & 2 Ave,March,1497
Spruce St & Nassau St,March,1427
Queens Plaza North & Crescent St,March,1808
Pike St & Monroe St,March,1361
Cherry St,March,1695
Front St & Maiden Ln,March,1399
Broadway & Berry St,March,1250
Lafayette Ave & Fort Greene Pl,March,1314
2 Ave & E 96 St,March,1429
Pearl St & Hanover Square,March,1477
3 Ave & E 62 St,March,1269
Graham Ave & Conselyea St,March,1274
Clinton St & Joralemon St,March,1124
E 81 St & York Ave,March,1461
E 84 St & 1 Ave,March,1648
Reade St & Broadway,March,1235
DeKalb Ave & Hudson Ave,March,1231
St James Pl & Oliver St,March,1248
S 3 St & Bedford Ave,March,1452
Vernon Blvd & 50 Ave,March,1053
Dean St & 4 Ave,March,1226
Grand Army Plaza & Plaza St West,March,2004
Clinton Ave & Myrtle Ave,March,1214
Catherine St & Monroe St,March,1387
W 47 St & 6 Ave,March,1208
Riverside Blvd & W 67 St,March,1682
William St & Pine St,March,1472
Berry St & N 8 St,March,1201
W 100 St & Broadway,March,1442
Broadway & W 37 St,March,1198
E 51 St & 2 Ave,March,1424
Leonard St & Church St,March,1198
Lawrence St & Willoughby St,March,1365
Willoughby St & Fleet St,March,1195
Old Fulton St,March,1952
E 59 St & Madison Ave,March,1244
Bond St & Fulton St,March,1415
Riverside Dr & W 72 St,March,2068
Park Ave & E 124 St,March,1165
W 76 St & Columbus Ave,March,1616
Fulton St & William St,March,1483
W 95 St & Broadway,March,1643
E 43 St & 2 Ave,March,1466
Division St & Bowery,March,1559
Madison St & Clinton St,March,1544
Milton St & Franklin St,March,1580
W 84 St & Columbus Ave,March,1568
Hudson St & Reade St,March,1401
Front St & Washington St,March,1571
5 Ave & E 78 St,March,1806
Court St & State St,March,1429
E 51 St & 1 Ave,March,1811
Central Park North & Adam Clayton Powell Blvd,March,2148
Rivington St & Chrystie St,March,1447
Avenue D & E 3 St,March,1494
E 48 St & 3 Ave,March,1422
Lenox Ave & W 111 St,March,2055
Clark St & Henry St,March,1541
West Drive & Prospect Park West,March,2310
E 56 St & 3 Ave,March,1504
Driggs Ave & N 9 St,March,1519
Cliff St & Fulton St,March,1719
E 5 St & Avenue C,March,1450
E 74 St & 1 Ave,March,1856
Jay St & York St,March,1612
Avenue C & E 18 St,March,1729
E 41 St & Madison Ave,March,1514
Lexington Ave & E 36 St,March,1697
W 42 St & Dyer Ave,March,1774
Central Park West & W 76 St,March,1887
MacDougal St & Washington Sq,March,1564
Fulton St & Adams St,March,1555
E 53 St & Madison Ave,March,1538
6 Ave & Canal St,March,1490
W 42 St & 6 Ave,March,1819
Stanton St & Norfolk St,March,1656
Broadway & W 36 St,March,1714
E 51 St & Lexington Ave,March,1464
W 15 St & 10 Ave,March,1859
Central Park W & W 96 St,March,2221
Rivington St & Ridge St,March,2016
Bank St & Washington St,March,1949
Bayard St & Baxter St,March,1621
Broadway & Battery Pl,March,2345
W 89 St & Columbus Ave,March,1733
W 50 St & 9 Ave,March,1938
2 Ave & E 72 St,March,1950
S 4 St & Wythe Ave,March,2007
Mercer St & Spring St,March,1551
Kent Ave & N 7 St,March,2370
Wythe Ave & Metropolitan Ave,March,1785
Pike St & E Broadway,March,1837
Watts St & Greenwich St,March,1850
9 Ave & W 18 St,March,1726
W 64 St & Thelonious Monk Circle,March,1988
E 6 St & Avenue D,March,2030
Bergen St & Smith St,March,1793
West Thames St,March,2398
W Broadway & Spring St,March,1805
W 67 St & Broadway,March,1737
Barclay St & Church St,March,1553
Washington Pl & 6 Ave,March,1880
Amsterdam Ave & W 82 St,March,1907
Greenwich Ave & Charles St,March,1827
W 35 St & Dyer Ave,March,1892
