Start Station Name,Month of Starttime,Number of Records
W 54 St & 9 Ave,March,2052
Murray St & West St,March,2034
South St & Gouverneur Ln,March,2522
W 56 St & 10 Ave,March,1946
Sullivan St & Washington Sq,March,2012
E 45 St & 3 Ave,March,1795
E 47 St & 2 Ave,March,1871
Perry St & Bleecker St,March,2051
1 Ave & E 44 St,March,1880
W 40 St & 5 Ave,March,1855
W 70 St & Amsterdam Ave,March,2258
Washington Pl & Broadway,March,1837
E 10 St & 5 Ave,March,1862
W 52 St & 5 Ave,March,1778
E 85 St & 3 Ave,March,2373
4 Ave & E 12 St,March,1890
E 72 St & York Ave,March,2234
Bank St & Hudson St,March,2107
Little West St & 1 Pl,March,2814
1 Ave & E 5 St,March,2211
W 45 St & 6 Ave,March,1800
5 Ave & E 88 St,March,2776
W 53 St & 10 Ave,March,2186
Amsterdam Ave & W 79 St,March,2032
Columbus Ave & W 95 St,March,2366
Murray St & Greenwich St,March,2427
Hanson Pl & Ashland Pl,March,1834
Central Park West & W 85 St,March,2667
Howard St & Centre St,March,1883
E 16 St & Irving Pl,March,1852
5 Ave & E 73 St,March,2738
W 46 St & 11 Ave,March,2357
N 6 St & Bedford Ave,March,1899
Broadway & W 51 St,March,1916
W 44 St & 5 Ave,March,1890
W 63 St & Broadway,March,2039
W 59 St & 10 Ave,March,2414
S 5 Pl & S 5 St,March,2997
W 37 St & 5 Ave,March,2145
Fulton St & Broadway,March,2016
Greenwich St & W Houston St,March,2381
Lispenard St & Broadway,March,1820
Broadway & W 53 St,March,2140
Henry St & Grand St,March,2281
Stanton St & Chrystie St,March,2114
E 9 St & Avenue C,March,2212
Suffolk St & Stanton St,March,2254
E 19 St & 3 Ave,March,2162
E 2 St & Avenue C,March,2242
E 58 St & 3 Ave,March,2276
Broadway & W 38 St,March,1931
E 27 St & 1 Ave,March,2389
E 30 St & Park Ave S,March,2125
Lexington Ave & E 29 St,March,2343
Forsyth St & Canal St,March,2403
1 Ave & E 30 St,March,2286
E 43 St & 5 Ave,March,1931
W 26 St & 10 Ave,March,2059
Central Park West & W 68 St,March,2662
E 11 St & Avenue B,March,2196
Mott St & Prince St,March,2410
W 16 St & The High Line,March,2172
Metropolitan Ave & Bedford Ave,March,2377
E 55 St & 2 Ave,March,2456
E 25 St & 1 Ave,March,2094
W 11 St & 6 Ave,March,2255
W 52 St & 11 Ave,March,3020
Forsyth St & Broome St,March,2136
W 55 St & 6 Ave,March,2227
W 37 St & 10 Ave,March,2601
E 20 St & FDR Drive,March,2350
9 Ave & W 28 St,March,2513
W 20 St & 8 Ave,March,2450
Pier 40 - Hudson River Park,March,3889
Liberty St & Broadway,March,2443
Centre St & Chambers St,March,2571
W 13 St & 5 Ave,March,2302
Allen St & Rivington St,March,2623
Central Park West & W 72 St,March,3095
7 Ave & Central Park South,March,2878
W 47 St & 10 Ave,March,2574
W 43 St & 10 Ave,March,2625
Allen St & Hester St,March,2570
E 2 St & 2 Ave,March,2247
Mercer St & Bleecker St,March,2512
W 45 St & 8 Ave,March,2343
W 15 St & 6 Ave,March,2575
LaGuardia Pl & W 3 St,March,2478
1 Ave & E 62 St,March,2941
1 Ave & E 78 St,March,2921
W 42 St & 8 Ave,March,2264
6 Ave & Broome St,March,2776
E 33 St & 5 Ave,March,2283
Gansevoort St & Hudson St,March,2509
University Pl & E 8 St,March,2707
E 12 St & 3 Ave,March,2511
E 53 St & Lexington Ave,March,2747
E 48 St & 5 Ave,March,2273
W 34 St & 11 Ave,March,2557
Norfolk St & Broome St,March,2794
St Marks Pl & 1 Ave,March,2581
11 Ave & W 59 St,March,3027
11 Ave & W 27 St,March,2456
Washington St & Gansevoort St,March,2782
W 13 St & 7 Ave,March,2558
Allen St & Stanton St,March,2725
E 2 St & Avenue B,March,2759
E 39 St & 3 Ave,March,2634
St Marks Pl & 2 Ave,March,2860
W 49 St & 8 Ave,March,3055
Grand Army Plaza & Central Park S,March,3140
E 20 St & Park Ave,March,2586
6 Ave & W 34 St,March,2903
MacDougal St & Prince St,March,2905
9 Ave & W 45 St,March,3071
Canal St & Rutgers St,March,2797
8 Ave & W 52 St,March,3217
W 25 St & 6 Ave,March,2627
W 20 St & 7 Ave,March,2773
Vesey Pl & River Terrace,March,3121
Central Park S & 6 Ave,March,3694
E 6 St & Avenue B,March,2807
Lafayette St & Jersey St,March,2794
FDR Drive & E 35 St,March,3574
E 4 St & 2 Ave,March,2919
E 11 St & 1 Ave,March,2958
E 31 St & 3 Ave,March,3146
E 2 St & Avenue A,March,2760
11 Ave & W 41 St,March,3508
W 52 St & 6 Ave,March,2804
5 Ave & E 29 St,March,2923
W 15 St & 7 Ave,March,3164
E 11 St & 2 Ave,March,3184
E 23 St & 1 Ave,March,3110
W 4 St & 7 Ave S,March,3308
Clinton St & Grand St,March,3579
E 10 St & Avenue A,March,3338
W 22 St & 8 Ave,March,2977
Barrow St & Hudson St,March,3200
South End Ave & Liberty St,March,3849
E 15 St & 3 Ave,March,3210
W 18 St & 6 Ave,March,2847
2 Ave & E 31 St,March,3462
E 39 St & 2 Ave,March,3545
E 7 St & Avenue A,March,3107
Broadway & W 49 St,March,3255
Broadway & W 29 St,March,2876
E 16 St & 5 Ave,March,3014
W 22 St & 10 Ave,March,3285
Amsterdam Ave & W 73 St,March,3362
Cleveland Pl & Spring St,March,3233
North Moore St & Greenwich St,March,3314
Columbus Ave & W 72 St,March,3423
E 25 St & 2 Ave,March,3479
E 24 St & Park Ave S,March,3212
W 26 St & 8 Ave,March,3494
Great Jones St,March,2941
E 20 St & 2 Ave,March,3425
9 Ave & W 22 St,March,3694
1 Ave & E 18 St,March,3529
Carmine St & 6 Ave,March,3630
E 33 St & 1 Ave,March,3852
Pershing Square South,March,3125
12 Ave & W 40 St,March,5029
W 27 St & 7 Ave,March,3284
10 Ave & W 28 St,March,3096
1 Ave & E 68 St,March,4321
W 17 St & 8 Ave,March,3337
Cooper Square & Astor Pl,March,3349
E 32 St & Park Ave,March,3441
Broadway & W 41 St,March,3263
W 24 St & 7 Ave,March,3841
Greenwich Ave & 8 Ave,March,3594
1 Ave & E 16 St,March,4104
Lexington Ave & E 26 St,March,3835
W 33 St & 7 Ave,March,3646
Grand St & Elizabeth St,March,4271
West St & Chambers St,March,5808
W 38 St & 8 Ave,March,4061
Lafayette St & E 8 St,March,3951
W 31 St & 7 Ave,March,3836
University Pl & E 14 St,March,4266
Broadway & W 56 St,March,4217
W 20 St & 11 Ave,March,3762
Broadway & W 25 St,March,4429
E 47 St & Park Ave,March,4139
Christopher St & Greenwich St,March,4786
Broadway & W 60 St,March,5361
E 13 St & Avenue A,March,4767
Broadway & E 14 St,March,4608
8 Ave & W 33 St,March,4541
W 41 St & 8 Ave,March,4809
6 Ave & W 33 St,March,4569
Broadway & E 22 St,March,5201
E 17 St & Broadway,March,5585
8 Ave & W 31 St,March,5287
W 21 St & 6 Ave,March,6058
Pershing Square North,March,6679
Somers St & Broadway,February,9
Stephen St & Seneca Ave,February,19
Linden St & Knickerbocker Ave,February,19
Bushwick Ave & Furman Ave,February,23
Broadway & Furman Ave,February,18
Cypress Ave & George St,February,34
Fairview Ave & Linden St,February,26
Menahan St & Onderdonk Ave,February,34
Centre St & Seneca Ave,February,37
31 Ave & Steinway St (temp),February,120
Metropolitan Ave & Vandervoort Ave,February,33
Halsey St & Evergreen Ave,February,23
Stanhope St & Fairview Ave,February,34
Hancock St & Wyckoff Ave,February,45
Willoughby Ave & Onderdonk Ave,February,42
Menahan St & Seneca Ave,February,44
Onderdonk Ave & Dekalb Ave,February,25
Metropolitan Ave & Stewart Ave,February,45
Onderdonk Ave & Gates Ave,February,31
Moffat St & Bushwick,February,46
Cypress Ave & Palmetto St,February,45
Madison St & Evergreen Ave,February,49
Central Ave & Decatur St,February,36
Frost St & Debevoise Ave,February,70
Central Ave & Covert St,February,41
Van Sinderen Ave & Truxton St,February,53
Cedar St & Evergreen Ave,February,36
Madison St & Forest Ave,February,52
Suydam St & St. Nicholas Ave,February,52
Putnam Ave & Knickerbocker Ave,February,50
Madison St & Cypress Ave,February,65
Woodward Ave & Harman St,February,61
Railroad Ave & Kay Ave,February,69
Madison St & Woodward Ave,February,70
24 St & 41 Ave (original),February,219
Harman St & Seneca Ave,February,52
Eldert St & Bushwick Ave,February,63
Flushing Ave & Woodward Ave,February,52
Menahan St & Wyckoff Ave,February,63
Columbia St & Lorraine St,February,74
Bushwick Ave & Forrest St,February,61
Knickerbocker Ave & Cooper St,February,84
Knickerbocker Ave & Halsey St,February,68
White St & Johnson Ave,February,79
Central Ave & Melrose St,February,71
Stewart Ave & Johnson Ave,February,94
Central Ave & Himrod St,February,67
Myrtle Ave & Grove St,February,77
Greene Ave & Grandview Ave,February,87
Bushwick Ave & Linden St,February,75
Central Ave & Weirfield St,February,78
Jefferson Ave & Evergreen Ave,February,91
21 St & 38 Ave,February,88
Menahan St & Central Ave,February,71
Morgan Ave & Maspeth Ave,February,80
Harrison Pl & Porter Ave,February,106
Henry St & Bay St,February,91
Madison St & Seneca Ave,February,107
Forest Ave & Summerfield St,February,80
Bushwick Ave & Dekalb Ave,February,71
11 St & 35 Ave,February,80
Hart St & Wyckoff Ave,February,73
Knickerbocker Ave & Hancock St,February,94
Bushwick Ave & Stagg St,February,98
Wyckoff St & Bond St,February,122
Van Buren St & Broadway,February,86
Montgomery St & Franklin Ave,February,94
Wilson Ave & Moffat St,February,121
Irving Ave & Halsey St,February,108
47 Ave & Skillman Ave,February,104
Bushwick Ave & Harman St,February,105
34 Ave & 13 St,February,94
Rockaway Ave & Bainbridge St,February,99
27 Ave & 3 St,February,125
Dwight St & Van Dyke St,February,80
Broadway & Hancock St,February,87
Irving Ave & Palmetto St,February,109
Carroll St & Franklin Ave,February,102
Putnam Ave & Wyckoff Ave,February,109
Evergreen Ave & Noll St,February,89
Pioneer St & Richards St,February,108
5 St & Market St,February,23
Green St & McGuinness Blvd,February,120
Jefferson St & Cypress Ave,February,153
Halsey St & Broadway,February,79
23 Ave & 27 St,February,123
48 Ave & 30 Pl,February,118
Withers St & Kingsland Ave,February,126
Central Ave & Woodbine St,February,123
Irving Ave & Harman St,February,113
11 St & 43 Ave,February,133
Myrtle Ave & Linden St,February,146
Richards St & Delavan St,February,135
Norman St & Wyckoff Ave,February,154
39 St & 2 Ave,February,93
37 St & 24 Ave,February,145
Albany Ave & Fulton St,February,146
Sullivan Pl & Bedford Ave,February,135
Irving Ave & DeKalb Ave,February,140
40 Ave & Crescent St,February,169
Henry St & W 9 St,February,182
Broadway & Kosciuszko St,February,126
Broadway & Madison St,February,146
Stagg St & Morgan Ave,February,160
10 Hudson Yards,February,219
21 St & 36 Ave,February,138
Bushwick Ave & McKibbin St,February,168
10 St & 2 Ave,February,168
Clinton St & Centre St,February,146
Central Ave & Starr Street,February,155
Wolcott St & Dwight St,February,186
Central Ave & Flushing Ave,February,173
Morgan Ave & Lombardy St,February,177
Union St & Bedford Ave,February,176
Kent St & McGuinness Blvd,February,182
Bedford Ave & Montgomery St,February,173
27 Ave & 9 St,February,167
Division Ave & Marcy Ave,February,201
Crescent St & 35 Ave,February,169
31 St & Hoyt Ave N,February,205
Devoe St & Morgan Ave,February,181
Vernon Blvd & 41 Rd,February,130
34 Ave & 21 St,February,174
Greene Av & Myrtle Av,February,174
Commerce St & Van Brunt St,February,193
21 St & Hoyt Ave S,February,155
Wilson Ave & Troutman St,February,160
Columbus Ave & W 103 St,February,175
Throop Ave & Myrtle Ave,February,178
24 Ave & 29 St,February,184
48 Ave & 5 St,February,148
Carroll St & Washington Ave,February,181
31 Ave & 14 St,February,203
5 St & 51 Ave,February,162
Cedar St & Myrtle Ave,February,192
Knickerbocker Ave & Thames St,February,191
Pulaski St & Marcus Garvey Blvd,February,162
Columbia St & W 9 St,February,195
Newton Rd & 44 St,February,187
2 Ave & 36 St,February,165
Lincoln Pl & Classon Ave,February,176
30 Ave & 21 St,February,199
George St & Wilson Ave,February,203
Crescent St & Ditmars Blvd,February,226
Willoughby Ave & Wyckoff Ave,February,225
Beaver St & Fayette St,February,197
Morningside Dr & Amsterdam Ave,February,255
Willoughby Ave & Myrtle Ave,February,226
31 St & Northern Blvd,February,153
Irving Ave & Jefferson St,February,225
Grove St & Broadway,February,176
Park Ave & Marcus Garvey Blvd,February,176
Stockholm St & Wilson Ave,February,222
38 Ave & 29 St,February,193
40 Ave & 9 St,February,230
12 St & 4 Ave,February,258
Jackson St & Leonard St,February,216
19 St & 24 Ave,February,216
Lewis Ave & Kosciuszko St,February,196
Sigourney St & Columbia St,February,222
Willoughby St & Ashland Pl,February,329
Waterbury St & Stagg St,February,250
3 Ave & 14 St,February,204
35 St & Broadway,February,195
28 Ave & 44 St,February,239
21 St & 43 Ave,February,230
Knickerbocker Ave & George St,February,212
Sterling St & Bedford Ave,February,199
31 Ave & Crescent St,February,235
35 Ave & 10 St,February,265
34 St & 35 Ave,February,246
Suydam St & Broadway,February,258
28 St & 36 Ave,February,208
Manhattan Av & Leonard St,February,272
Humboldt St & Varet St,February,243
Steinway St & 23 Ave,February,233
Powers St & Olive St,February,238
Wyckoff Av & Stanhope St,February,225
E 116 St & 2 Ave,February,215
35 St & 34 Ave,February,232
2 Ave & E 122 St,February,234
E 118 St & Park Ave,February,261
White St & Moore St,February,286
Marcy Ave & Lafayette Ave,February,228
Engert Ave & McGuinness Blvd,February,276
Lexington Ave & E 127 St,February,223
3 Ave & E 112 St,February,223
47 Ave & 31 St,February,245
Nostrand Ave & Myrtle Ave,February,279
Leonard St & Boerum St,February,248
Wyckoff Av & Jefferson St,February,277
Stuyvesant Walk & 1 Av Loop,February,296
Vernon Blvd & 30 Rd,February,246
37 Ave & 35 St,February,253
Coffey St & Conover St,February,245
Adam Clayton Powell Blvd & W 115 St,February,287
24 St & 41 Ave,February,131
Crescent St & 30 Ave,February,261
9 St & 44 Rd,February,287
Pacific St & Classon Ave,February,338
31 St & Thomson Ave,February,240
36 Ave & 10 St,February,223
Crescent St & 34 Ave,February,263
Broadway & 12 St,February,289
31 Ave & Steinway St,February,150
Sands St Gate,February,349
W 129 St & Convent Ave,February,275
Broadway & W 122 St,February,291
31 Ave & 30 St,February,281
Suydam St & Knickerbocker Ave,February,225
24 Ave & 26 St,February,348
Lewis Ave & Decatur St,February,254
Melrose St & Broadway,February,230
3 Ave & E 100 St,February,307
Willoughby Ave & Tompkins Ave,February,298
Pleasant Ave & E 120 St,February,268
35 Ave & 37 St,February,285
Madison Ave & E 120 St,February,314
Rogers Ave & Sterling St,February,280
Jackson Ave & 46 Rd,February,322
Putnam Ave & Nostrand Ave,February,289
E 128 St & Madison Ave,February,309
McKibbin St & Bogart St,February,323
E 123 St & Lexington Ave,February,304
McKibbin St & Manhattan Ave,February,300
5 St & 6 Ave,February,316
Pioneer St & Van Brunt St,February,311
49 Ave & 21 St,February,313
Franklin Ave & Myrtle Ave,February,364
E 115 St & Madison Ave,February,303
Union Ave & Wallabout St,February,330
N 15 St & Wythe Ave,February,383
Vernon Blvd & 10 St,February,308
3 St & Hoyt St,February,318
Vernon Blvd & 31 Ave,February,298
Marcus Garvey Blvd & Macon St,February,333
28 Ave & 35 St,February,357
Graham Ave & Herbert St,February,369
Lexington Ave & E 120 St,February,302
Calyer St & Jewel St,February,349
Sharon St & Olive St,February,319
Newtown Ave & 23 St,February,331
Lorimer St & Broadway,February,407
E 98 St & Park Ave,February,351
6 Ave & 12 St,February,321
West End Ave & W 78 St,February,399
Tompkins Ave & Hopkins St,February,383
5 Ave & E 126 St,February,353
E 118 St & 1 Ave,February,334
Union St & Nevins St,February,380
21 St & 31 Dr,February,342
Adam Clayton Powell Blvd & W 118 St,February,349
3 Ave & Carroll St,February,383
Brooklyn Bridge Park - Pier 2,February,304
Amsterdam Ave & W 125 St,February,371
Frost St & Meeker Ave,February,386
Myrtle Ave & Marcy Ave,February,393
7 St & 3 Ave,February,366
Bedford Ave & S 9 St,February,365
Verona Pl & Fulton St,February,360
Fulton St & Utica Ave,February,363
Myrtle Ave & Lewis Ave,February,382
Ditmars Blvd & 19 St,February,337
Greene Ave & Throop Ave,February,399
27 St & Hunter St,February,337
E 114 St & 1 Ave,February,347
Lorimer St & Calyer St,February,405
10 St & 5 Ave,February,412
Putnam Ave & Throop Ave,February,372
E 106 St & 1 Ave,February,373
Astoria Park S & Shore Blvd,February,314
Hancock St & Bedford Ave,February,383
Van Brunt St & Wolcott St,February,397
Broadway & Whipple St,February,415
Kingston Ave & Herkimer St,February,353
N 11 St & Kent Ave,February,439
Kosciuszko St & Nostrand Ave,February,391
Bushwick Ave & Powers St,February,379
Union Ave & Jackson St,February,463
36 Ave & 31 St,February,414
Park Pl & Franklin Ave,February,471
6 St & 7 Ave,February,418
Crescent St & Broadway,February,408
E 106 St & Madison Ave,February,387
Prospect Pl & Underhill Ave,February,452
7 St & 5 Ave,February,449
43 St & Broadway,February,351
Division Ave & Hooper St,February,390
Lefferts Pl & Franklin Ave,February,445
31 Ave & 34 St,February,414
E 118 St & 3 Ave,February,381
E 118 St & Madison Ave,February,416
Greene Ave & Nostrand Ave,February,430
Frederick Douglass Blvd & W 129 St,February,366
Steinway St & 28 Ave,February,457
Adam Clayton Powell Blvd & W 126 St,February,427
E 97 St & 3 Ave,February,408
Franklin Ave & St Marks Ave,February,467
1 Pl & Clinton St,February,411
Boerum St & Broadway,February,475
Halsey St & Tompkins Ave,February,417
Amsterdam Ave & W 119 St,February,475
Columbia Heights & Cranberry St,February,416
Center Blvd & 51 Ave,February,304
Wyckoff St & Nevins St,February,485
Berkeley Pl & 6 Ave,February,489
Center Blvd & 48 Ave,February,368
Sterling Pl & Bedford Ave,February,403
E 106 St & Lexington Ave,February,432
Smith St & 3 St,February,443
DeKalb Ave & Franklin Ave,February,448
W 107 St & Columbus Ave,February,442
31 St & Astoria Blvd,February,530
2 Ave & E 99 St,February,471
Van Brunt St & Van Dyke St,February,417
Willoughby Ave & Walworth St,February,459
Cambridge Pl & Gates Ave,February,431
Vernon Blvd & 47 Rd,February,439
Prospect Park West & 8 St,February,377
Park Ave & St Edwards St,February,493
Clinton Ave & Flushing Ave,February,485
21 St & Queens Plaza North,February,510
E 102 St & Park Ave,February,466
E 115 St & Lexington Ave,February,503
Fulton St & Irving Pl,February,459
Lewis Ave & Madison St,February,458
E 95 St & 3 Ave,February,464
Concord St & Bridge St,February,440
Eastern Pkwy & Washington Ave,February,535
Morningside Ave & W 123 St,February,440
W 120 St & Claremont Ave,February,515
Pierrepont St & Monroe Pl,February,495
Central Park West & W 102 St,February,450
Prospect Pl & 6 Ave,February,538
Dock 72 Way & Market St,February,581
Lenox Ave & W 115 St,February,513
E 81 St & Park Ave,February,438
Court St & Nelson St,February,561
Underhill Ave & Pacific St,February,564
Pitt St & Stanton St,February,544
Fulton St & Clermont Ave,February,492
Monroe St & Tompkins Ave,February,552
Leonard St & Maujer St,February,473
E 109 St & 3 Ave,February,481
10 St & 7 Ave,February,528
Clinton St & 4 Place,February,532
Myrtle Ave & St Edwards St,February,529
28 St & 41 Ave,February,529
Adam Clayton Powell Blvd & W 123 St,February,552
Graham Ave & Withers St,February,567
Kosciuszko St & Tompkins Ave,February,602
W 116 St & Broadway,February,599
Clermont Ave & Park Ave,February,588
Dean St & Hoyt St,February,531
Degraw St & Hoyt St,February,590
Columbia St & Kane St,February,510
East End Ave & E 86 St,February,458
4 Ave & 9 St,February,558
W 113 St & Broadway,February,542
E 68 St & Madison Ave,February,610
Carroll St & Columbia St,February,533
Broadway & Moylan Pl,February,626
Clermont Ave & Lafayette Ave,February,654
W 104 St & Amsterdam Ave,February,576
President St & Henry St,February,607
Garfield Pl & 8 Ave,February,572
Carroll St & Bond St,February,581
Butler St & Court St,February,624
14 St & 7 Ave,February,544
Richardson St & N Henry St,February,640
Carlton Ave & Park Ave,February,707
44 Dr & 21 St,February,623
E 66 St & Madison Ave,February,547
Montrose Ave & Bushwick Ave,February,600
Riverside Dr & W 91 St,February,427
Cadman Plaza E & Johnson St,February,583
Washington Ave & Greene Ave,February,626
Bond St & Bergen St,February,639
Kingsland Ave & Nassau Ave,February,673
45 Rd & 11 St,February,633
Lexington Ave & Classon Ave,February,620
Riverside Dr & W 104 St,February,520
Mt Morris Park W & W 120 St,February,664
Lexington Ave & E 111 St,February,642
12 Ave & W 125 St,February,249
Carlton Ave & Flushing Ave,February,715
Monroe St & Classon Ave,February,716
Columbia St & Degraw St,February,617
Laight St & Hudson St,February,649
St Johns Pl & Washington Ave,February,620
E 93 St & 2 Ave,February,633
Pacific St & Nevins St,February,716
Clinton St & Union St,February,679
Bayard St & Leonard St,February,730
West End Ave & W 107 St,February,616
1 Ave & E 110 St,February,621
Classon Ave & St Marks Ave,February,695
W 30 St & 10 Ave,February,49
Driggs Ave & Lorimer St,February,672
2 Ave & E 104 St,February,650
Warren St & Court St,February,631
3 Ave & E 71 St,February,678
Underhill Ave & Lincoln Pl,February,762
St. Nicholas Ave & W 126 St,February,615
Smith St & 9 St,February,703
India St & West St,February,735
Madison Ave & E 99 St,February,674
6 Ave & 9 St,February,772
W 110 St & Amsterdam Ave,February,690
Carlton Ave & Dean St,February,771
E 103 St & Lexington Ave,February,698
Carroll St & 6 Ave,February,795
Grand Ave & Bergen St,February,812
S Portland Ave & Hanson Pl,February,816
S 4 St & Rodney St,February,712
Frederick Douglass Blvd & W 115 St,February,701
14 St & 5 Ave,February,711
44 Dr & Jackson Ave,February,612
3 Ave & E 72 St,February,711
Degraw St & Smith St,February,752
3 St & 7 Ave,February,782
1 Ave & E 94 St,February,641
3 St & 3 Ave,February,742
E 67 St & Park Ave,February,787
W 106 St & Amsterdam Ave,February,688
Cumberland St & Lafayette Ave,February,810
34 Ave & 38 St,February,820
Monroe St & Bedford Ave,February,822
Henry St & Middagh St,February,749
Scholes St & Manhattan Ave,February,752
E 60 St & York Ave,February,705
Nassau St & Navy St,February,684
Lafayette Ave & Classon Ave,February,812
E 78 St & 2 Ave,February,741
Johnson St & Gold St,February,757
Front St & Gold St,February,778
Douglass St & 4 Ave,February,785
Delancey St & Eldridge St,February,913
E 58 St & 1 Ave (NE Corner),February,778
Franklin St & Dupont St,February,768
Franklin Ave & Empire Blvd,February,662
Park Pl & Vanderbilt Ave,February,750
DeKalb Ave & S Portland Ave,February,750
E 88 St & Park Ave,February,744
Graham Ave & Grand St,February,723
Carroll St & 5 Ave,February,785
Dean St & Franklin Ave,February,838
31 St & 23 Ave,February,780
31 St & Newtown Ave,February,796
Washington Park,February,794
Eastern Pkwy & Franklin Ave,February,758
Grand St & Greene St,February,1259
Baltic St & 5 Ave,February,849
St James Pl & Pearl St,February,798
Bedford Ave & Bergen St,February,804
W 90 St & Amsterdam Ave,February,769
Nassau Ave & Newell St,February,934
Roebling St & N 4 St,February,802
Bergen St & Vanderbilt Ave,February,900
31 St & Broadway,February,847
Douglass St & 3 Ave,February,915
West End Ave & W 94 St,February,680
Bus Slip & State St,February,779
Lenox Ave & W 130 St,February,813
E 110 St & Madison Ave,February,826
Riverside Dr & W 78 St,February,722
Stagg St & Union Ave,February,861
E 68 St & 3 Ave,February,868
