Day of Date,Measure Names,Parameter control,Number of Records
"January 2, 2020",Number of Trips from Station,,41556
"January 3, 2020",Number of Trips from Station,,31873
"January 4, 2020",Number of Trips from Station,,29436
"January 5, 2020",Number of Trips from Station,,27589
"January 6, 2020",Number of Trips from Station,,42738
"January 7, 2020",Number of Trips from Station,,46535
"January 8, 2020",Number of Trips from Station,,42400
"January 9, 2020",Number of Trips from Station,,39344
"January 10, 2020",Number of Trips from Station,,50800
"January 11, 2020",Number of Trips from Station,,56538
"January 12, 2020",Number of Trips from Station,,53121
"January 13, 2020",Number of Trips from Station,,49438
"January 14, 2020",Number of Trips from Station,,44144
"January 15, 2020",Number of Trips from Station,,54251
"January 16, 2020",Number of Trips from Station,,45247
"January 17, 2020",Number of Trips from Station,,34122
"January 18, 2020",Number of Trips from Station,,13301
"January 19, 2020",Number of Trips from Station,,25935
"January 20, 2020",Number of Trips from Station,,24230
"January 21, 2020",Number of Trips from Station,,37399
"January 22, 2020",Number of Trips from Station,,43415
"January 23, 2020",Number of Trips from Station,,48258
"January 24, 2020",Number of Trips from Station,,51334
"January 25, 2020",Number of Trips from Station,,17734
"January 26, 2020",Number of Trips from Station,,36121
"January 27, 2020",Number of Trips from Station,,46534
"January 28, 2020",Number of Trips from Station,,48816
"January 29, 2020",Number of Trips from Station,,47386
"January 30, 2020",Number of Trips from Station,,45603
"January 31, 2020",Number of Trips from Station,,47284
"February 1, 2020",Number of Trips from Station,,35542
"February 2, 2020",Number of Trips from Station,,28593
"February 3, 2020",Number of Trips from Station,,53522
"February 4, 2020",Number of Trips from Station,,52478
"February 5, 2020",Number of Trips from Station,,50544
"February 6, 2020",Number of Trips from Station,,32156
"February 7, 2020",Number of Trips from Station,,32643
"February 8, 2020",Number of Trips from Station,,32783
"February 9, 2020",Number of Trips from Station,,32635
"February 10, 2020",Number of Trips from Station,,26732
"February 11, 2020",Number of Trips from Station,,37789
"February 12, 2020",Number of Trips from Station,,49336
"February 13, 2020",Number of Trips from Station,,37413
"February 14, 2020",Number of Trips from Station,,36921
"February 15, 2020",Number of Trips from Station,,21598
"February 16, 2020",Number of Trips from Station,,27276
"February 17, 2020",Number of Trips from Station,,40946
"February 18, 2020",Number of Trips from Station,,44104
"February 19, 2020",Number of Trips from Station,,49313
"February 20, 2020",Number of Trips from Station,,42686
"February 21, 2020",Number of Trips from Station,,38686
"February 22, 2020",Number of Trips from Station,,39443
"February 23, 2020",Number of Trips from Station,,46544
"February 24, 2020",Number of Trips from Station,,56349
"February 25, 2020",Number of Trips from Station,,39568
"February 26, 2020",Number of Trips from Station,,45207
"February 27, 2020",Number of Trips from Station,,43411
"February 28, 2020",Number of Trips from Station,,43360
"February 29, 2020",Number of Trips from Station,,29252
"March 1, 2020",Number of Trips from Station,,31878
"March 2, 2020",Number of Trips from Station,,56946
"March 3, 2020",Number of Trips from Station,,49723
"March 4, 2020",Number of Trips from Station,,58670
"March 5, 2020",Number of Trips from Station,,58686
"March 6, 2020",Number of Trips from Station,,34135
"March 7, 2020",Number of Trips from Station,,39448
"March 8, 2020",Number of Trips from Station,,46994
"March 9, 2020",Number of Trips from Station,,68768
"March 10, 2020",Number of Trips from Station,,64277
"March 11, 2020",Number of Trips from Station,,61816
"March 12, 2020",Number of Trips from Station,,51332
"March 13, 2020",Number of Trips from Station,,43343
"March 14, 2020",Number of Trips from Station,,44239
"March 15, 2020",Number of Trips from Station,,36140
"March 16, 2020",Number of Trips from Station,,29481
"March 17, 2020",Number of Trips from Station,,24331
"March 18, 2020",Number of Trips from Station,,30496
"March 19, 2020",Number of Trips from Station,,20842
"March 20, 2020",Number of Trips from Station,,31327
"March 21, 2020",Number of Trips from Station,,31712
"March 22, 2020",Number of Trips from Station,,19891
"March 23, 2020",Number of Trips from Station,,3999
"March 24, 2020",Number of Trips from Station,,20863
"March 25, 2020",Number of Trips from Station,,12066
"March 26, 2020",Number of Trips from Station,,21996
"March 27, 2020",Number of Trips from Station,,26504
"March 28, 2020",Number of Trips from Station,,8871
"March 29, 2020",Number of Trips from Station,,9646
"March 30, 2020",Number of Trips from Station,,15041
"March 31, 2020",Number of Trips from Station,,14996
"January 2, 2020",<Parameters.Totals> ,,
"January 3, 2020",<Parameters.Totals> ,,
"January 4, 2020",<Parameters.Totals> ,,
"January 5, 2020",<Parameters.Totals> ,,
"January 6, 2020",<Parameters.Totals> ,,
"January 7, 2020",<Parameters.Totals> ,,
"January 8, 2020",<Parameters.Totals> ,,
"January 9, 2020",<Parameters.Totals> ,,
"January 10, 2020",<Parameters.Totals> ,,
"January 11, 2020",<Parameters.Totals> ,,
"January 12, 2020",<Parameters.Totals> ,,
"January 13, 2020",<Parameters.Totals> ,,
"January 14, 2020",<Parameters.Totals> ,,
"January 15, 2020",<Parameters.Totals> ,,
"January 16, 2020",<Parameters.Totals> ,,
"January 17, 2020",<Parameters.Totals> ,,
"January 18, 2020",<Parameters.Totals> ,,
"January 19, 2020",<Parameters.Totals> ,,
"January 20, 2020",<Parameters.Totals> ,,
"January 21, 2020",<Parameters.Totals> ,,
"January 22, 2020",<Parameters.Totals> ,,
"January 23, 2020",<Parameters.Totals> ,,
"January 24, 2020",<Parameters.Totals> ,,
"January 25, 2020",<Parameters.Totals> ,,
"January 26, 2020",<Parameters.Totals> ,,
"January 27, 2020",<Parameters.Totals> ,,
"January 28, 2020",<Parameters.Totals> ,,
"January 29, 2020",<Parameters.Totals> ,,
"January 30, 2020",<Parameters.Totals> ,,
"January 31, 2020",<Parameters.Totals> ,,
"February 1, 2020",<Parameters.Totals> ,,
"February 2, 2020",<Parameters.Totals> ,,
"February 3, 2020",<Parameters.Totals> ,,
"February 4, 2020",<Parameters.Totals> ,,
"February 5, 2020",<Parameters.Totals> ,,
"February 6, 2020",<Parameters.Totals> ,,
"February 7, 2020",<Parameters.Totals> ,,
"February 8, 2020",<Parameters.Totals> ,,
"February 9, 2020",<Parameters.Totals> ,,
"February 10, 2020",<Parameters.Totals> ,,
"February 11, 2020",<Parameters.Totals> ,,
"February 12, 2020",<Parameters.Totals> ,,
"February 13, 2020",<Parameters.Totals> ,,
"February 14, 2020",<Parameters.Totals> ,,
"February 15, 2020",<Parameters.Totals> ,,
"February 16, 2020",<Parameters.Totals> ,,
"February 17, 2020",<Parameters.Totals> ,,
"February 18, 2020",<Parameters.Totals> ,,
"February 19, 2020",<Parameters.Totals> ,,
"February 20, 2020",<Parameters.Totals> ,,
"February 21, 2020",<Parameters.Totals> ,,
"February 22, 2020",<Parameters.Totals> ,,
"February 23, 2020",<Parameters.Totals> ,,
"February 24, 2020",<Parameters.Totals> ,,
"February 25, 2020",<Parameters.Totals> ,,
"February 26, 2020",<Parameters.Totals> ,,
"February 27, 2020",<Parameters.Totals> ,,
"February 28, 2020",<Parameters.Totals> ,,
"February 29, 2020",<Parameters.Totals> ,1,
"March 1, 2020",<Parameters.Totals> ,1,
"March 2, 2020",<Parameters.Totals> ,0,
"March 3, 2020",<Parameters.Totals> ,2,
"March 4, 2020",<Parameters.Totals> ,5,
"March 5, 2020",<Parameters.Totals> ,3,
"March 6, 2020",<Parameters.Totals> ,7,
"March 7, 2020",<Parameters.Totals> ,7,
"March 8, 2020",<Parameters.Totals> ,21,
"March 9, 2020",<Parameters.Totals> ,57,
"March 10, 2020",<Parameters.Totals> ,70,
"March 11, 2020",<Parameters.Totals> ,153,
"March 12, 2020",<Parameters.Totals> ,355,
"March 13, 2020",<Parameters.Totals> ,618,
"March 14, 2020",<Parameters.Totals> ,642,
"March 15, 2020",<Parameters.Totals> ,1028,
"March 16, 2020",<Parameters.Totals> ,2116,
"March 17, 2020",<Parameters.Totals> ,2447,
"March 18, 2020",<Parameters.Totals> ,2950,
"March 19, 2020",<Parameters.Totals> ,3678,
"March 20, 2020",<Parameters.Totals> ,3985,
"March 21, 2020",<Parameters.Totals> ,2600,
"March 22, 2020",<Parameters.Totals> ,2545,
"March 23, 2020",<Parameters.Totals> ,3505,
"March 24, 2020",<Parameters.Totals> ,4390,
"March 25, 2020",<Parameters.Totals> ,4734,
"March 26, 2020",<Parameters.Totals> ,4924,
"March 27, 2020",<Parameters.Totals> ,4991,
"March 28, 2020",<Parameters.Totals> ,3386,
"March 29, 2020",<Parameters.Totals> ,3437,
"March 30, 2020",<Parameters.Totals> ,6015,
"March 31, 2020",<Parameters.Totals> ,5170,
